Model,Score,Type
Logistic Regression,0.5368060080244161,standard
Random Forest Classifier,0.5492335653784164,standard
Gradient Boosting Classifier,0.5674222420355955,standard
Support Vector Classification,0.5368060080244161,standard
k-Nearest Neighbors,0.4797743561606254,standard
Decision Tree Classifier,0.4971400157744933,standard
Gaussian Naive Bayes,0.5368060080244161,standard
Bernoulli Naive Bayes,0.5294262885360584,standard
Multilayer Perceptron Classifier,0.4929460580912863,standard
Stochastic Gradient Descent Classifier,0.4929460580912863,standard
Extra Trees Classifier,0.5492301361407359,standard
Bagging,0.5459414972051714,standard
Voting,0.5368060080244161,standard
AdaBoost,0.5045780323034189,standard
Stacking,0.5533623675456946,standard
HistGradientBoosting,0.5442680292171049,standard
Decision Tree Classifier (Max Depth 5),0.5765508727409897,standard
Decision Tree Classifier (Min Samples Split 10),0.5012482425156888,standard
Decision Tree Classifier (Min Samples Split 20),0.5095298515140084,standard
Decision Tree Classifier (Gini),0.4971400157744933,standard
Decision Tree Classifier (Entropy),0.5318404718631048,standard
Random Forest Classifier (n_estimators=100),0.5492335653784164,standard
Random Forest Classifier (max_depth=5),0.5782003360652926,standard
Random Forest Classifier (min_samples_split=10),0.5608243887383835,standard
Gradient Boosting Classifier (n_estimators=100),0.5674222420355955,standard
Gradient Boosting Classifier (learning_rate=0.1),0.5674222420355955,standard
Gradient Boosting Classifier (max_depth=3),0.5674222420355955,standard
K-Nearest Neighbors Classifier (n_neighbors=3),0.4996227838551489,standard
K-Nearest Neighbors Classifier (n_neighbors=7),0.5012688179417715,standard
K-Nearest Neighbors Classifier (weights='distance'),0.4806179486300195,standard
"Support Vector Classifier (polynomial kernel, degree=3)",0.5368060080244161,standard
Support Vector Classifier (C=0.5),0.5368060080244161,standard
"Multi-Layer Perceptron Classifier (hidden_layer_sizes=(50, 50))",0.4929460580912863,standard
Multi-Layer Perceptron Classifier (activation='tanh'),0.5368060080244161,standard
Multi-Layer Perceptron Classifier (learning_rate_init=0.01),0.4780700250334351,standard
Logistic Regression,0.5368060080244161,minmax
Random Forest Classifier,0.5484071190974247,minmax
Gradient Boosting Classifier,0.5674222420355955,minmax
Support Vector Classification,0.5368060080244161,minmax
k-Nearest Neighbors,0.4797743561606254,minmax
Decision Tree Classifier,0.4971400157744933,minmax
Gaussian Naive Bayes,0.5368060080244161,minmax
Multinomial Naive Bayes,0.5624635643496451,minmax
Bernoulli Naive Bayes,0.5384554713487191,minmax
Multilayer Perceptron Classifier,0.4929460580912863,minmax
Stochastic Gradient Descent Classifier,0.5078220911491376,minmax
Extra Trees Classifier,0.5484036898597442,minmax
Bagging,0.5459414972051714,minmax
Voting,0.5368060080244161,minmax
AdaBoost,0.5045780323034189,minmax
Stacking,0.5541888138266863,minmax
HistGradientBoosting,0.5442680292171049,minmax
Decision Tree Classifier (Max Depth 5),0.5765508727409897,minmax
Decision Tree Classifier (Min Samples Split 10),0.5012482425156888,minmax
Decision Tree Classifier (Min Samples Split 20),0.5095298515140084,minmax
Decision Tree Classifier (Gini),0.4971400157744933,minmax
Decision Tree Classifier (Entropy),0.5318404718631048,minmax
Random Forest Classifier (n_estimators=100),0.5484071190974247,minmax
Random Forest Classifier (max_depth=5),0.5782003360652926,minmax
Random Forest Classifier (min_samples_split=10),0.5608243887383835,minmax
Gradient Boosting Classifier (n_estimators=100),0.5674222420355955,minmax
Gradient Boosting Classifier (learning_rate=0.1),0.5674222420355955,minmax
Gradient Boosting Classifier (max_depth=3),0.5674222420355955,minmax
K-Nearest Neighbors Classifier (n_neighbors=3),0.4996227838551489,minmax
K-Nearest Neighbors Classifier (n_neighbors=7),0.5012688179417715,minmax
K-Nearest Neighbors Classifier (weights='distance'),0.4806179486300195,minmax
"Support Vector Classifier (polynomial kernel, degree=3)",0.5368060080244161,minmax
Support Vector Classifier (C=0.5),0.5368060080244161,minmax
"Multi-Layer Perceptron Classifier (hidden_layer_sizes=(50, 50))",0.4929460580912863,minmax
Multi-Layer Perceptron Classifier (activation='tanh'),0.5368060080244161,minmax
Multi-Layer Perceptron Classifier (learning_rate_init=0.01),0.4780700250334351,minmax
Logistic Regression,0.5368060080244161,robust
Random Forest Classifier,0.5492335653784164,robust
Gradient Boosting Classifier,0.5674222420355955,robust
Support Vector Classification,0.5368060080244161,robust
k-Nearest Neighbors,0.47977435616062547,robust
Decision Tree Classifier,0.49714001577449335,robust
Gaussian Naive Bayes,0.5368060080244161,robust
Bernoulli Naive Bayes,0.5376770343952539,robust
Multilayer Perceptron Classifier,0.49294605809128633,robust
Stochastic Gradient Descent Classifier,0.49294605809128633,robust
Extra Trees Classifier,0.5492301361407359,robust
Bagging,0.5459414972051714,robust
Voting,0.5368060080244161,robust
AdaBoost,0.5045780323034189,robust
Stacking,0.5533623675456946,robust
HistGradientBoosting,0.5442680292171049,robust
Decision Tree Classifier (Max Depth 5),0.5765508727409897,robust
Decision Tree Classifier (Min Samples Split 10),0.5012482425156888,robust
Decision Tree Classifier (Min Samples Split 20),0.5095298515140084,robust
Decision Tree Classifier (Gini),0.49714001577449335,robust
Decision Tree Classifier (Entropy),0.5318404718631048,robust
Random Forest Classifier (n_estimators=100),0.5492335653784164,robust
Random Forest Classifier (max_depth=5),0.5782003360652926,robust
Random Forest Classifier (min_samples_split=10),0.5608243887383835,robust
Gradient Boosting Classifier (n_estimators=100),0.5674222420355955,robust
Gradient Boosting Classifier (learning_rate=0.1),0.5674222420355955,robust
Gradient Boosting Classifier (max_depth=3),0.5674222420355955,robust
K-Nearest Neighbors Classifier (n_neighbors=3),0.49962278385514897,robust
K-Nearest Neighbors Classifier (n_neighbors=7),0.5012688179417715,robust
K-Nearest Neighbors Classifier (weights='distance'),0.4806179486300195,robust
"Support Vector Classifier (polynomial kernel, degree=3)",0.5368060080244161,robust
Support Vector Classifier (C=0.5),0.5368060080244161,robust
"Multi-Layer Perceptron Classifier (hidden_layer_sizes=(50, 50))",0.49294605809128633,robust
Multi-Layer Perceptron Classifier (activation='tanh'),0.5368060080244161,robust
Multi-Layer Perceptron Classifier (learning_rate_init=0.01),0.4780700250334351,robust
