model,duration,best_features,fold,accuracy,f1_score,precision,recall,auc_roc
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",1,0.6471551980935359,0.6832464233186255,0.6324257425742574,0.7429485315498692,0.6962416733073035
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",2,0.6376228775692583,0.6215585627624824,0.6125076640098099,0.630880959898958,0.6918304149546142
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",3,0.6344950848972297,0.6803022407503907,0.6107602339181286,0.76771537783005,0.6728037944131948
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",4,0.6365802800119154,0.6752728240617515,0.6159261956785628,0.7472754050073638,0.6846771012259935
XGBoost with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",5,0.6455168305034257,0.6846011131725418,0.634799705087245,0.7428817946505608,0.688738538588326
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.6669645516830504,0.7137003841229195,0.63761153054221,0.8104100029078221,0.7211721408451329
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6496872207327972,0.6401468788249693,0.6209557732264767,0.6605620461004105,0.7042085134183937
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.6581769436997319,0.6917394224311618,0.6367457962413452,0.7571302558071156,0.7074277615654848
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",4,0.6534107834375931,0.6932102834541859,0.6274463007159905,0.7743740795287187,0.7030946915625259
LightGBM with RFECV Feature Selection,3,"time, turnover, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",5,0.6601131963062258,0.700682056663169,0.6440800578731614,0.7681909692263446,0.7042180358344065
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,1,0.6064400715563506,0.6256381168462848,0.5978319783197832,0.6561570493753718,0.6370137321130329
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,2,0.6046511627906976,0.6454545454545455,0.5954612728169709,0.7046117921774664,0.6273473132474787
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,3,0.6413237924865832,0.6838370565045994,0.6364970645792564,0.7387847813742192,0.6742889194741475
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,4,0.6180679785330948,0.6765968189851047,0.616658996778647,0.7494407158836689,0.6538933103048277
XGBoost with RFECV Feature Selection,6,BBP_5_2.0,5,0.6204531902206321,0.6768215283066769,0.6128735632183908,0.7556689342403629,0.6569312525848914
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",1,0.6234347048300537,0.6788710907704044,0.5928063943161634,0.7941701368233195,0.6690805753129185
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",2,0.627906976744186,0.6657739689341189,0.6150420583869372,0.7256275539988325,0.6683820502996585
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",3,0.6520572450805009,0.6882180069462998,0.649848637739657,0.7314026121521863,0.700305460466771
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",4,0.646690518783542,0.6786004882017901,0.6587677725118484,0.6996644295302014,0.6945583726903637
LightGBM with RFECV Feature Selection,6,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",5,0.6356589147286822,0.6912582112177869,0.6235186873290793,0.7755102040816326,0.6953307947917112
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,1,0.6136974037600716,0.653552790044159,0.61995430312262,0.6910016977928692,0.6330645161290323
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,2,0.6324977618621307,0.6879513492968452,0.64002828854314,0.743631881676253,0.6599787991975367
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,3,0.6293643688451208,0.6825153374233129,0.615916955017301,0.765262252794497,0.6641662110530655
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,4,0.6307072515666965,0.6847535345815821,0.616655196145905,0.7697594501718213,0.6634466229887273
XGBoost with RFECV Feature Selection,9,BBP_5_2.0,5,0.621307072515667,0.6741140215716488,0.616631430584919,0.7434154630416313,0.6517785303141496
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.6190689346463742,0.6963967178023548,0.6006153846153847,0.8285229202037352,0.6531365758604722
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6418979409131602,0.6918335901386748,0.6511965192168238,0.7378800328677074,0.6795657067324667
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.6521933751119069,0.6930067167127618,0.6410818713450293,0.7540842648323302,0.6880487936074401
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",4,0.6427931960608774,0.6830818109610802,0.6351550960118169,0.738831615120275,0.6904205607476636
LightGBM with RFECV Feature Selection,9,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",5,0.6338406445837064,0.6915535444947211,0.6216949152542373,0.7790994052676296,0.6600910385028724
XGBoost with RFECV Feature Selection,12,BBP_5_2.0,1,0.589605734767025,0.6355437665782494,0.586105675146771,0.694090382387022,0.6217093184243877
XGBoost with RFECV Feature Selection,12,BBP_5_2.0,2,0.6152927120669056,0.6737588652482268,0.6339370829361296,0.7189189189189189,0.6309313318659113
XGBoost with RFECV Feature Selection,12,BBP_5_2.0,3,0.6111111111111112,0.6723704076497232,0.6007194244604317,0.7634285714285715,0.6489182907205435
XGBoost with RFECV Feature Selection,12,BBP_5_2.0,4,0.6230585424133811,0.6917440156326332,0.6194225721784777,0.7831858407079646,0.6337023043328353
XGBoost with RFECV Feature Selection,12,BBP_5_2.0,5,0.6290322580645161,0.6846114779075674,0.6240740740740741,0.7581552305961755,0.6594828512677954
LightGBM with RFECV Feature Selection,12,"low, volume, turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",1,0.6278375149342891,0.6902038786673297,0.6045296167247387,0.8041714947856315,0.6662575565122097
LightGBM with RFECV Feature Selection,12,"low, volume, turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",2,0.6284348864994026,0.6597374179431073,0.6677740863787376,0.6518918918918919,0.6718724064518456
LightGBM with RFECV Feature Selection,12,"low, volume, turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",3,0.6296296296296297,0.6709129511677283,0.626362735381566,0.7222857142857143,0.6675973538351511
LightGBM with RFECV Feature Selection,12,"low, volume, turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",4,0.6445639187574671,0.7008547008547009,0.6423963133640553,0.7710176991150443,0.6659320767727848
LightGBM with RFECV Feature Selection,12,"low, volume, turnover, avg_vol_last_100, MACD_12_26_9, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, CCI",5,0.600358422939068,0.5324947589098532,0.7029520295202952,0.42857142857142855,0.6959411920643678
XGBoost with RFECV Feature Selection,15,"BBB_5_2.0, BBP_5_2.0",1,0.5822122571001495,0.6104529616724739,0.6074895977808599,0.6134453781512605,0.604783900739783
XGBoost with RFECV Feature Selection,15,"BBB_5_2.0, BBP_5_2.0",2,0.6143497757847534,0.6640625,0.6327543424317618,0.6986301369863014,0.6271054884643115
XGBoost with RFECV Feature Selection,15,"BBB_5_2.0, BBP_5_2.0",3,0.6210762331838565,0.6679764243614931,0.6319702602230484,0.7083333333333334,0.6464086659475009
XGBoost with RFECV Feature Selection,15,"BBB_5_2.0, BBP_5_2.0",4,0.600896860986547,0.6500655307994758,0.5983112183353438,0.7116212338593975,0.6220228436110185
XGBoost with RFECV Feature Selection,15,"BBB_5_2.0, BBP_5_2.0",5,0.6412556053811659,0.6795727636849134,0.6492346938775511,0.7128851540616247,0.6815240519284637
LightGBM with RFECV Feature Selection,15,"time, volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, MACDs_12_26_9, S2, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.585949177877429,0.696604600219058,0.5719424460431655,0.8907563025210085,0.6281355490914314
LightGBM with RFECV Feature Selection,15,"time, volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, MACDs_12_26_9, S2, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6278026905829597,0.6856060606060606,0.6358313817330211,0.7438356164383562,0.6554794520547945
LightGBM with RFECV Feature Selection,15,"time, volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, MACDs_12_26_9, S2, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.6195814648729447,0.63875088715401,0.6531204644412192,0.625,0.6557668104998202
LightGBM with RFECV Feature Selection,15,"time, volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, MACDs_12_26_9, S2, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",4,0.609118086696562,0.6534128561961564,0.6071428571428571,0.7073170731707317,0.6420764721550124
LightGBM with RFECV Feature Selection,15,"time, volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, MACDs_12_26_9, S2, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",5,0.6397608370702541,0.7144549763033176,0.6190965092402464,0.8445378151260504,0.6723766429648783
XGBoost with RFECV Feature Selection,18,BBP_5_2.0,1,0.5655296229802513,0.6077795786061588,0.5841121495327103,0.6334459459459459,0.5770927177177178
XGBoost with RFECV Feature Selection,18,BBP_5_2.0,2,0.6005385996409336,0.6498819826907947,0.6073529411764705,0.6988155668358714,0.6224049072609215
XGBoost with RFECV Feature Selection,18,BBP_5_2.0,3,0.6238779174147218,0.6889383815887157,0.6356164383561644,0.7520259319286872,0.6441485215996139
XGBoost with RFECV Feature Selection,18,BBP_5_2.0,4,0.6131059245960503,0.6682063125481139,0.6173541963015647,0.7281879194630873,0.6482777720193827
XGBoost with RFECV Feature Selection,18,BBP_5_2.0,5,0.618491921005386,0.6787603930461074,0.6075778078484438,0.7688356164383562,0.6339735719824244
LightGBM with RFECV Feature Selection,18,"volume, MACDs_12_26_9, S2, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ROC",1,0.5969479353680431,0.7059593975114603,0.5764705882352941,0.910472972972973,0.6141788340064203
LightGBM with RFECV Feature Selection,18,"volume, MACDs_12_26_9, S2, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ROC",2,0.5771992818671454,0.6155102040816326,0.5946372239747634,0.637901861252115,0.6211431510904485
LightGBM with RFECV Feature Selection,18,"volume, MACDs_12_26_9, S2, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ROC",3,0.5233393177737882,0.4053751399776036,0.6557971014492754,0.293354943273906,0.6288362264347838
LightGBM with RFECV Feature Selection,18,"volume, MACDs_12_26_9, S2, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ROC",4,0.6238779174147218,0.6590724165988608,0.6398104265402843,0.6795302013422819,0.6698291052317898
LightGBM with RFECV Feature Selection,18,"volume, MACDs_12_26_9, S2, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ROC",5,0.6095152603231598,0.6598905394839719,0.6071942446043166,0.7226027397260274,0.6563453088653399
XGBoost with RFECV Feature Selection,21,BBP_5_2.0,1,0.5922431865828093,0.6554472984942428,0.6075533661740559,0.7115384615384616,0.6109513470400567
XGBoost with RFECV Feature Selection,21,BBP_5_2.0,2,0.5849056603773585,0.6550522648083623,0.593996840442338,0.7300970873786408,0.594249950239954
XGBoost with RFECV Feature Selection,21,BBP_5_2.0,3,0.6184486373165619,0.6761565836298932,0.6012658227848101,0.7723577235772358,0.6438668039277795
XGBoost with RFECV Feature Selection,21,BBP_5_2.0,4,0.6090146750524109,0.6666666666666667,0.5864779874213837,0.772256728778468,0.624025794200261
XGBoost with RFECV Feature Selection,21,BBP_5_2.0,5,0.610062893081761,0.6776429809358752,0.609984399375975,0.7621832358674464,0.6331547563794848
LightGBM with RFECV Feature Selection,21,"volume, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ROC",1,0.6016771488469602,0.6526508226691042,0.6219512195121951,0.6865384615384615,0.6317041829138603
LightGBM with RFECV Feature Selection,21,"volume, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ROC",2,0.5828092243186582,0.6314814814814815,0.6035398230088496,0.6621359223300971,0.6120751044960966
LightGBM with RFECV Feature Selection,21,"volume, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ROC",3,0.6310272536687631,0.6710280373831775,0.6211072664359861,0.7296747967479674,0.6650036954915004
LightGBM with RFECV Feature Selection,21,"volume, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ROC",4,0.6079664570230608,0.6340508806262231,0.601113172541744,0.6708074534161491,0.6404416839199448
LightGBM with RFECV Feature Selection,21,"volume, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ROC",5,0.6184486373165619,0.6610800744878956,0.6327985739750446,0.6920077972709552,0.6656146539187475
XGBoost with RFECV Feature Selection,24,BBP_5_2.0,1,0.5863309352517986,0.6387434554973822,0.595703125,0.6884875846501128,0.6033236535363974
XGBoost with RFECV Feature Selection,24,BBP_5_2.0,2,0.5695443645083933,0.617678381256656,0.5954825462012321,0.6415929203539823,0.5911162720659778
XGBoost with RFECV Feature Selection,24,BBP_5_2.0,3,0.6139088729016786,0.6673553719008265,0.6048689138576779,0.7442396313364056,0.6530443548387097
XGBoost with RFECV Feature Selection,24,BBP_5_2.0,4,0.6270983213429256,0.6861755802219979,0.6181818181818182,0.7709750566893424,0.6574059649305014
XGBoost with RFECV Feature Selection,24,BBP_5_2.0,5,0.6223021582733813,0.6834170854271355,0.6215722120658135,0.7589285714285714,0.6363486537749815
LightGBM with RFECV Feature Selection,24,"turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",1,0.5947242206235012,0.662,0.5942549371633752,0.7471783295711061,0.6252302078943266
LightGBM with RFECV Feature Selection,24,"turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",2,0.6258992805755396,0.6722689075630253,0.64,0.7079646017699115,0.674709261919103
LightGBM with RFECV Feature Selection,24,"turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",3,0.6306954436450839,0.668103448275862,0.6275303643724697,0.7142857142857143,0.6697811059907834
