features,feature_importance,n_features_to_select,process
"BOP, PCTRET_1, op_cl_diff, pct_change, kagi_dir",0.19999999999999998,5,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, op_cl_diff, diff_1, williams_r, close_change, kagi_dir, kagi_slowk",0.1,10,RFE
"BOP, DPO_20, ER_10, LOGRET_1, PCTRET_1, SLOPE_1, WILLR_14, op_cl_diff, pct_change, diff_1, williams_r, close_change, kagi_dir, kagi_rsi, kagi_slowk",0.06666666666666667,15,RFE
"BOP, DPO_20, ER_10, LOGRET_1, PDIST, PCTRET_1, RVI_14, WILLR_14, HA_high_low, roc_renko, price_diff, op_cl_diff, pct_change, diff_1, williams_r, close_change, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk",0.05000000000000001,20,RFE
"BBP_5_2.0, BOP, low_Z_30_1, DPO_20, ER_10, LOGRET_1, RVI_14, SKEW_30, SLOPE_1, WILLR_14, UO_10_14_50, HA_high_low, roc_renko, tlb_slowk, tlb_WilliamsR, price_diff, pct_change, diff_1, diff_2, williams_r, price_to_prev_low, close_change, volume_ema5, turnover, BBP_5_2.0_5, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.03333333333333333,30,RFE
"DMP_14, BBP_5_2.0, BOP, DPO_20, ER_10, ISA_9, LOGRET_1, PDIST, PCTRET_1, RVI_14, SKEW_30, SLOPE_1, VHF_28, WILLR_14, UO_10_14_50, HA_high_low, HA_body, roc_renko, tlb_slowk, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, diff_2, diff_15, williams_r, roc_10, price_to_prev_high, price_to_prev_low, return_volume_corr_50, price_to_volume, close_change, volume_change_roll5, BBP_5_2.0_5, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.025,40,RFE
"BOP, PCTRET_1, op_cl_diff, pct_change, kagi_dir",0.2,5,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, price_diff, op_cl_diff, diff_1, kagi_dir, kagi_slowk",0.1,10,RFE
"BBP_5_2.0, BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, WILLR_14, price_diff, op_cl_diff, pct_change, diff_1, close_change, kagi_dir, kagi_rsi, kagi_slowk",0.06666666666666668,15,RFE
"BBP_5_2.0, BOP, DPO_20, LOGRET_1, PCTRET_1, PVOL, SLOPE_1, HA_high_low, price_diff, op_cl_diff, pct_change, diff_1, williams_r, price_to_prev_high, close_change, BBP_5_2.0_5, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk",0.05,20,RFE
"BBP_5_2.0, BOP, CG_10, DPO_20, LOGRET_1, PCTRET_1, RVI_14, SLOPE_1, WILLR_14, HA_high_low, HA_body, tlb_CMF, tlb_WilliamsR, tlb_ADX, price_diff, op_cl_diff, pct_change, diff_1, williams_r, ema_to_ma_5, price_to_prev_low, close_change, volume_ema5, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.03333333333333333,30,RFE
"ADX_14, BBB_5_2.0, BBP_5_2.0, BOP, CFO_9, DEC_1, DPO_20, BULLP_13, K_9_3, LOGRET_1, PCTRET_1, PVR, RVI_14, SLOPE_1, WILLR_14, SMI_10_50_5, UO_10_14_50, HA_high_low, HA_close_pct_change, volume_tlb, tlb_CMF, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, diff_2, williams_r, lag_return_1, price_to_prev_low, price_to_volume, close_change, turnover, BBP_5_2.0_5, kagi_dir, kagi_start, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.025,40,RFE
"BOP, op_cl_diff, pct_change, diff_1, kagi_dir",0.2,5,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, price_diff, op_cl_diff, pct_change, diff_1, kagi_dir, kagi_slowk",0.1,10,RFE
"volume, BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, volume_tlb, price_diff, op_cl_diff, pct_change, diff_1, hollow_candle, kagi_dir, kagi_volume, kagi_slowk",0.06666666666666667,15,RFE
"volume, BBP_5_2.0, BOP, DPO_20, LOGRET_1, PCTRET_1, QQE_14_5_4.236_RSIMA, SLOPE_1, volume_tlb, price_diff, op_cl_diff, pct_change, diff_1, price_to_volume, close_change, BBP_5_2.0_5, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk",0.05,20,RFE
"volume, BBP_5_2.0, BOP, DPO_20, LOGRET_1, PDIST, PCTRET_1, SLOPE_1, WILLR_14, SMI_10_50_5, volume_tlb, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, williams_r, price_to_prev_low, price_to_volume, close_change, volume_ema5, turnover, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_start, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.03333333333333333,30,RFE
"ADX_14, BBP_5_2.0, BOP, CFO_9, DPO_20, BULLP_13, LOGRET_1, PCTRET_1, PVOL, PVR, RSI_14, SLOPE_1, WILLR_14, SMI_10_50_5, HA_high_low, volume_tlb, tlb_slowd, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, diff_8, williams_r, lag_return_1, price_to_prev_high, price_to_prev_low, price_to_volume, close_change, volume_ema5, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_start, kagi_volume, kagi_macdhist, kagi_rsi, kagi_slowk, kagi_slowd, kagi_ad",0.024999999999999994,40,RFE
"BOP, LOGRET_1, op_cl_diff, pct_change, kagi_dir",0.19999999999999996,5,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, volume_tlb, op_cl_diff, pct_change, kagi_dir, kagi_volume",0.1,10,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, volume_tlb, price_diff, op_cl_diff, pct_change, diff_1, close_change, equivolume_width, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk",0.06666666666666667,15,RFE
"volume, BBP_5_2.0, BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, volume_tlb, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, close_change, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk",0.05,20,RFE
"BBP_5_2.0, BOP, CG_10, DPO_20, LOGRET_1, PDIST, PCTRET_1, PVOL, PVR, SLOPE_1, WILLR_14, HA_high_low, volume_tlb, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, williams_r, price_to_prev_low, price_to_volume, volume_ma_5, close_change, volume_ema5, BBP_5_2.0_5, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.03333333333333333,30,RFE
"volume, BBP_5_2.0, BOP, CFO_9, DPO_20, D_9_3, J_9_3, LOGRET_1, PDIST, PCTRET_1, SLOPE_1, WILLR_14, HA_high_low, volume_tlb, tlb_RSI, tlb_slowk, tlb_CMF, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, williams_r, lag_return_3, price_to_prev_high, price_to_prev_low, price_to_volume, volume_ma_5, volume_std_5, close_change, volume_roll5, volume_ema5, price_to_ema5, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.025,40,RFE
"BOP, LOGRET_1, PCTRET_1, op_cl_diff, kagi_dir",0.2,5,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, op_cl_diff, pct_change, hollow_candle, kagi_dir, kagi_slowk",0.1,10,RFE
"BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, volume_tlb, op_cl_diff, pct_change, diff_1, close_change, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_volume, kagi_slowk",0.06666666666666667,15,RFE
"volume, BBP_5_2.0, BOP, DPO_20, LOGRET_1, PCTRET_1, SLOPE_1, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, close_change, volume_ema5, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk",0.05,20,RFE
"volume, BBP_5_2.0, BOP, DPO_20, LOGRET_1, PCTRET_1, PVOL, RVI_14, SLOPE_1, WILLR_14, TSI_10_50_13, HA_high_low, volume_tlb, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, williams_r, lag_return_3, ma5_to_ma10, close_change, volume_ema5, BBP_5_2.0_5, equivolume_width, kagi_dir, kagi_volume, kagi_rsi, kagi_slowk, kagi_slowd",0.03333333333333333,30,RFE
"volume, BBP_5_2.0, BOP, DPO_20, EBSW_40_10, FISHERT_9_1, FISHERTs_9_1, LOGRET_1, PDIST, PCTRET_1, PVOL, RVI_14, SLOPE_1, WILLR_14, SMI_10_50_5, HA_high_low, volume_tlb, tlb_WilliamsR, price_diff, op_cl_diff, pct_change, diff_1, williams_r, lag_return_3, price_to_ema_5, ma5_to_ma10, price_to_prev_high, price_to_prev_low, price_to_volume, volume_ma_5, close_change, turnover, BBP_5_2.0_5, hollow_candle, kagi_dir, kagi_volume, kagi_macdhist, kagi_rsi, kagi_slowk, kagi_slowd",0.025,40,RFE
