model,duration,selected_features,accuracy,f1_score,precision_score,recall_score,roc_auc_score
MLP with L1 Regularization,3,"turnover, avg_vol_last_100, MACDs_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, ATR",0.6464104855525767,0.691207075962539,0.63096651626692,0.7641645096347426,0.681595921972441
MLP with L2 Regularization,3,"high, low, R1, S1, R2, S2, R3, S3",0.5180220434912124,0.6819343424415177,0.5179931312527998,0.9976991659476561,0.5066540358909144
MLP with Elastic Net Regularization,3,"volume, turnover, R3, S3, BBB_5_2.0, ATR",0.5285969615728329,0.583497828661666,0.5378457059679768,0.637618636755824,0.560972146811622
MLP with L1 Regularization,6,"turnover, avg_vol_last_100, MACDh_12_26_9, R3, BBB_5_2.0, BBP_5_2.0, RSI, ATR, ROC, CCI",0.6362552176505665,0.6873398257303946,0.627221702525725,0.7602040816326531,0.669091829603959
MLP with L2 Regularization,6,"high, low, R1, S1, R2, S2, R3, S3",0.5259391771019678,0.6893317702227432,0.5259391771019678,1.0,0.507684258189649
MLP with Elastic Net Regularization,6,"turnover, R2, R3, S3, BBB_5_2.0",0.5521765056648777,0.6189751395230848,0.5601469237832875,0.691609977324263,0.5665502574195296
MLP with L1 Regularization,9,"turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ATR, ROC, CCI",0.622202327663384,0.674633770239013,0.6175017642907551,0.7434154630416313,0.6480183491695529
MLP with L2 Regularization,9,"high, low, R1, S1, R2, S2, R3, S3, SMA_10",0.526857654431513,0.6901201993550278,0.526857654431513,1.0,0.48828098311294443
MLP with Elastic Net Regularization,9,"turnover, R2, R3, S3, BBB_5_2.0",0.5465532676812892,0.671423937722997,0.5430220356768101,0.8793542905692439,0.536414999248446
MLP with L1 Regularization,12,"turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR, ROC, CCI",0.6385902031063322,0.6834118262689691,0.6389432485322897,0.734533183352081,0.683004592578794
MLP with L2 Regularization,12,"high, low, R1, S1, R2, S2, R3, S3",0.48148148148148145,0.39554317548746515,0.5191956124314442,0.3194600674915636,0.4869587957556261
MLP with Elastic Net Regularization,12,"turnover, R2, R3, S3, BBB_5_2.0",0.5627240143369175,0.6376237623762375,0.5694076038903625,0.7244094488188977,0.5794774060885701
MLP with L1 Regularization,15,"turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR, CCI",0.625560538116592,0.6714754098360655,0.6313193588162762,0.7170868347338936,0.666152679020326
MLP with L2 Regularization,15,"close, high, low, turnover, R1, S1, R2, S2, R3, S3",0.531390134529148,0.49799839871897517,0.5813084112149532,0.43557422969187676,0.5639791172879409
MLP with Elastic Net Regularization,15,"turnover, R2, R3, S3, BBB_5_2.0",0.5710014947683109,0.6512758201701093,0.575107296137339,0.7507002801120448,0.5721221180780004
MLP with L1 Regularization,18,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHd_14_3_3, ATR, ROC",0.6211849192100538,0.6803030303030303,0.6100543478260869,0.7688356164383562,0.642258981649005
MLP with L2 Regularization,18,"high, low, R1, S1, R2, S2, R3, S3, SMA_10",0.5242369838420108,0.6878680800942286,0.5242369838420108,1.0,0.5105356681313
MLP with Elastic Net Regularization,18,"turnover, R2, R3, S3, BBB_5_2.0",0.5583482944344704,0.6495726495726496,0.5560975609756098,0.7808219178082192,0.5671200568622383
MLP with L1 Regularization,21,"volume, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR, CCI",0.6174004192872118,0.666056724611162,0.6275862068965518,0.7095516569200779,0.6399552673571054
MLP with L2 Regularization,21,"high, low, R1, S1, R2, S2, R3, S3, SMA_10",0.5377358490566038,0.6993865030674846,0.5377358490566038,1.0,0.4956416614729062
MLP with Elastic Net Regularization,21,"volume, R2, R3, S3, BBB_5_2.0",0.5566037735849056,0.6634844868735083,0.5604838709677419,0.8128654970760234,0.5655938788770869
MLP with L1 Regularization,24,"volume, turnover, MACDs_12_26_9, R3, S3, BBB_5_2.0, STOCHd_14_3_3, ATR, ROC, CCI",0.5911270983213429,0.6974267968056788,0.5787923416789397,0.8772321428571429,0.5859837620281273
MLP with L2 Regularization,24,"high, low, R1, S1, R2, S2, R3, S3, SMA_10",0.5371702637889688,0.6989079563182528,0.5371702637889688,1.0,0.5023477979274611
MLP with Elastic Net Regularization,24,"turnover, R2, R3, S3, BBB_5_2.0",0.5503597122302158,0.6660730186999109,0.554074074074074,0.8348214285714286,0.5693381060325684
MLP with L1 Regularization,27,"turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, ATR, CCI",0.5775978407557355,0.5832223701731026,0.5967302452316077,0.5703125,0.6130733543417367
MLP with L2 Regularization,27,"high, low, R1, R2, S2, R3, S3",0.5182186234817814,0.6826666666666666,0.5182186234817814,1.0,0.5079292133520075
MLP with Elastic Net Regularization,27,"turnover, R2, S2, R3, S3, BBB_5_2.0",0.5060728744939271,0.5869074492099322,0.5179282868525896,0.6770833333333334,0.5382163281979458
MLP with L1 Regularization,30,"volume, turnover, MACD_12_26_9, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, ATR, ROC, CCI",0.5930930930930931,0.6312925170068027,0.58,0.6925373134328359,0.621301348243676
MLP with L2 Regularization,30,"high, low, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.5285285285285285,0.6687763713080169,0.5171288743882545,0.9462686567164179,0.5739008883077062
MLP with Elastic Net Regularization,30,"R2, S2, R3, S3, BBB_5_2.0",0.5330330330330331,0.6302021403091557,0.5237154150197628,0.7910447761194029,0.5668755918293729
MLP with L1 Regularization,33,"turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",0.5520661157024793,0.5985185185185186,0.5838150289017341,0.6139817629179332,0.5616547729174926
MLP with L2 Regularization,33,"high, low, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.5355371900826447,0.40842105263157896,0.6643835616438356,0.2948328267477204,0.5708889476234527
MLP with Elastic Net Regularization,33,"turnover, R2, S2, R3, S3, BBB_5_2.0",0.5487603305785124,0.6285714285714287,0.5689655172413793,0.7021276595744681,0.5435333245231487
MLP with L1 Regularization,36,"volume, turnover, avg_vol_last_100, MACD_12_26_9, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR, CCI",0.5956678700361011,0.607017543859649,0.5805369127516778,0.6360294117647058,0.6141009595327493
MLP with L2 Regularization,36,"high, low, turnover, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.5072202166064982,0.41290322580645156,0.49740932642487046,0.35294117647058826,0.5439351272423862
MLP with Elastic Net Regularization,36,"turnover, R2, S2, R3, S3, BBB_5_2.0",0.5288808664259927,0.6075187969924812,0.5139949109414759,0.7426470588235294,0.561046360033375
MLP with L1 Regularization,39,"volume, turnover, avg_vol_last_100, MACD_12_26_9, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ATR",0.6125244618395304,0.67,0.6611842105263158,0.6790540540540541,0.6241514770584538
MLP with L2 Regularization,39,"low, R1, S1, R2, S2, R3, S3, BBB_5_2.0, SMA_10",0.5694716242661448,0.6745562130177515,0.6,0.7702702702702703,0.5677089880578252
MLP with Elastic Net Regularization,39,"R2, S2, R3, S3, BBB_5_2.0",0.5753424657534246,0.6527999999999999,0.6200607902735562,0.6891891891891891,0.5576524198617222
MLP with L1 Regularization,42,"turnover, avg_vol_last_100, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHd_14_3_3, ATR, ROC, CCI",0.5864978902953587,0.641025641025641,0.5718954248366013,0.7291666666666666,0.5943732193732194
MLP with L2 Regularization,42,"low, R1, S1, R2, S2, R3, S3, BBU_5_2.0, BBB_5_2.0",0.5421940928270043,0.629059829059829,0.5333333333333333,0.7666666666666667,0.6001424501424502
MLP with Elastic Net Regularization,42,"R2, S2, R3, S3, BBB_5_2.0",0.5232067510548524,0.6245847176079734,0.5193370165745856,0.7833333333333333,0.5727920227920228
MLP with L1 Regularization,45,"turnover, MACDh_12_26_9, R3, S3, BBB_5_2.0, RSI, STOCHd_14_3_3, ATR, ROC",0.5633484162895928,0.6809917355371901,0.5567567567567567,0.8765957446808511,0.5851372186247301
MLP with L2 Regularization,45,"close, low, volume, turnover, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.5746606334841629,0.5877192982456141,0.6063348416289592,0.5702127659574469,0.6249768732654949
MLP with Elastic Net Regularization,45,"low, volume, turnover, R2, S2, R3, S3, BBB_5_2.0",0.5859728506787331,0.6882453151618398,0.5738636363636364,0.8595744680851064,0.6001952924247096
MLP with L1 Regularization,48,"volume, turnover, avg_vol_last_100, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, STOCHk_14_3_3, ATR, ROC, CCI",0.6231884057971014,0.7045454545454546,0.6138613861386139,0.8266666666666667,0.6081128747795415
MLP with L2 Regularization,48,"high, low, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.5362318840579711,0.6852459016393442,0.5428571428571428,0.9288888888888889,0.5983539094650205
MLP with Elastic Net Regularization,48,"turnover, R2, S2, R3, S3, BBB_5_2.0",0.5458937198067633,0.624,0.5672727272727273,0.6933333333333334,0.5420576131687243
MLP with L1 Regularization,51,"volume, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",0.5604113110539846,0.5819070904645477,0.5833333333333334,0.5804878048780487,0.5875132555673382
MLP with L2 Regularization,51,"high, low, volume, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.4704370179948586,0.05504587155963303,0.46153846153846156,0.02926829268292683,0.5405355249204666
MLP with Elastic Net Regularization,51,"volume, R2, R3, S3, BBB_5_2.0, STOCHd_14_3_3",0.5347043701799485,0.6387225548902196,0.5405405405405406,0.7804878048780488,0.5242841993637328
MLP with L1 Regularization,54,"turnover, MACDh_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, ATR, ROC, CCI",0.6021798365122616,0.6651376146788991,0.6118143459915611,0.7286432160804021,0.5855467815266809
MLP with L2 Regularization,54,"high, low, R1, R2, S2, R3, S3, BBU_5_2.0, BBB_5_2.0",0.5776566757493188,0.6501128668171557,0.5901639344262295,0.7236180904522613,0.5887772194304858
MLP with Elastic Net Regularization,54,"turnover, R2, S2, R3, S3, BBB_5_2.0",0.5395095367847411,0.6411889596602973,0.5551470588235294,0.7587939698492462,0.5650275185451066
MLP with L1 Regularization,57,"turnover, avg_vol_last_100, MACDh_12_26_9, MACDs_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ROC, CCI",0.6005747126436781,0.6149584487534626,0.578125,0.6568047337278107,0.6082112988000397
MLP with L2 Regularization,57,"high, turnover, R1, S1, R2, S2, R3, S3, RSI, SMA_10, ROC",0.5632183908045977,0.5249999999999999,0.5562913907284768,0.4970414201183432,0.5895011735149251
MLP with Elastic Net Regularization,57,"turnover, R1, R2, S2, R3, S3, BBB_5_2.0, RSI, STOCHk_14_3_3, ROC",0.5287356321839081,0.6076555023923446,0.5100401606425703,0.7514792899408284,0.537040097848005
MLP with L1 Regularization,60,"volume, turnover, avg_vol_last_100, MACDs_12_26_9, R2, R3, S3, BBB_5_2.0, BBP_5_2.0, RSI, STOCHk_14_3_3, STOCHd_14_3_3, ATR, ROC, CCI",0.5727272727272728,0.6375321336760925,0.5821596244131455,0.7045454545454546,0.5840835301062572
MLP with L2 Regularization,60,"low, R1, S1, R2, S2, R3, S3, BBB_5_2.0",0.4696969696969697,0.2358078602620087,0.5094339622641509,0.1534090909090909,0.5300693624557261
MLP with Elastic Net Regularization,60,"turnover, R2, S2, R3, S3, BBB_5_2.0",0.5424242424242425,0.6430260047281323,0.5506072874493927,0.7727272727272727,0.548258559622196
